date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking_date,home_rank,home_ranking_points,away_ranking_date,away_rank,away_ranking_points,rank_diff,points_diff,home_win,draw
2021-03-28,Israel,Scotland,1,1,FIFA World Cup qualification,Tel Aviv,Israel,False,2021-02-18,87,1279.0,2021-02-18,48,1436.0,-39,-157.0,0,1
2021-03-28,Kazakhstan,France,0,2,FIFA World Cup qualification,Nur-Sultan,Kazakhstan,False,2021-02-18,122,1142.0,2021-02-18,2,1755.0,-120,-613.0,0,0
2021-03-28,Kosovo,Sweden,0,3,FIFA World Cup qualification,Pristina,Kosovo,False,2021-02-18,117,1155.0,2021-02-18,20,1558.0,-97,-403.0,0,0
2021-03-28,Northern Ireland,United States,1,2,Friendly,Belfast,Northern Ireland,False,2021-02-18,45,1440.0,2021-02-18,22,1548.0,-23,-108.0,0,0
2021-03-28,Romania,Germany,0,1,FIFA World Cup qualification,Bucharest,Romania,False,2021-02-18,37,1466.0,2021-02-18,13,1610.0,-24,-144.0,0,0
2021-03-28,Sudan,South Africa,2,0,African Cup of Nations qualification,Omdurman,Sudan,False,2021-02-18,127,1124.0,2021-02-18,71,1341.0,-56,-217.0,1,0
2021-03-28,Switzerland,Lithuania,1,0,FIFA World Cup qualification,St. Gallen,Switzerland,False,2021-02-18,16,1593.0,2021-02-18,129,1114.0,113,479.0,1,0
2021-03-28,Tunisia,Equatorial Guinea,2,1,African Cup of Nations qualification,Radès,Tunisia,False,2021-02-18,26,1503.0,2021-02-18,134,1097.0,108,406.0,1,0
2021-03-29,Algeria,Botswana,5,0,African Cup of Nations qualification,Algiers,Algeria,False,2021-02-18,31,1488.0,2021-02-18,146,1066.0,115,422.0,1,0
2021-03-29,Cayman Islands,Canada,0,11,FIFA World Cup qualification,Bradenton,United States,True,2021-02-18,193,897.0,2021-02-18,73,1332.0,-120,-435.0,0,0
2021-03-29,DR Congo,Gambia,1,0,African Cup of Nations qualification,Kinshasa,DR Congo,False,2021-02-18,60,1386.0,2021-02-18,157,1034.0,97,352.0,1,0
2021-03-29,Ecuador,Bolivia,2,1,Friendly,Guayaquil,Ecuador,False,2021-02-18,57,1409.0,2021-02-18,79,1307.0,22,102.0,1,0
2021-03-29,Egypt,Comoros,4,0,African Cup of Nations qualification,Cairo,Egypt,False,2021-02-18,49,1432.0,2021-02-18,130,1112.0,81,320.0,1,0
2021-03-29,Uzbekistan,Iraq,0,1,Friendly,Tashkent,Uzbekistan,False,2021-02-18,85,1283.0,2021-02-18,69.0,1348.0,-16.0,-65.0,0,0
2021-03-30,Bahrain,Jordan,1,2,Friendly,Riffa,Bahrain,False,2021-02-18,97,1238.0,2021-02-18,95,1243.0,-2,-5.0,0,0
2021-03-30,Belgium,Belarus,8,0,FIFA World Cup qualification,Leuven,Belgium,False,2021-02-18,1,1780.0,2021-02-18,88,1269.0,87,511.0,1,0
2021-03-30,Costa Rica,Mexico,0,1,Friendly,Wiener Neustadt,Austria,True,2021-02-18,50,1427.0,2021-02-18,9,1632.0,-41,-205.0,0,0
2021-03-30,Croatia,Malta,3,0,FIFA World Cup qualification,Rijeka,Croatia,False,2021-02-18,11,1617.0,2021-02-18,176,951.0,165,666.0,1,0
2021-03-30,Gibraltar,Netherlands,0,7,FIFA World Cup qualification,Gibraltar,Gibraltar,False,2021-02-18,195,888.0,2021-02-18,14,1609.0,-181,-721.0,0,0
2021-03-30,Iran,Syria,3,0,Friendly,Tehran,Iran,False,2021-02-18,29,1496.0,2021-02-18,76,1313.0,47,183.0,1,0
2021-03-30,Ivory Coast,Ethiopia,3,1,African Cup of Nations qualification,Abidjan,Ivory Coast,False,,,,2021-02-18,146,1066.0,,,1,0
2021-03-30,Japan,Mongolia,14,0,FIFA World Cup qualification,Chiba,Japan,False,2021-02-18,27,1502.0,2021-02-18,190,906.0,163,596.0,1,0
2021-03-30,Luxembourg,Portugal,1,3,FIFA World Cup qualification,Luxembourg,Luxembourg,False,2021-02-18,98,1235.0,2021-02-18,5,1662.0,-93,-427.0,0,0
2021-03-30,Montenegro,Norway,0,1,FIFA World Cup qualification,Podgorica,Montenegro,False,2021-02-18,63,1370.0,2021-02-18,44,1450.0,-19,-80.0,0,0
2021-03-30,Morocco,Burundi,1,0,African Cup of Nations qualification,Rabat,Morocco,False,2021-02-18,33,1481.0,2021-02-18,138,1078.0,105,403.0,1,0
2021-03-30,Mozambique,Cape Verde,0,1,African Cup of Nations qualification,Maputo,Mozambique,False,2021-02-18,106,1185.0,,,,,,0,0
2021-03-30,Republic of Ireland,Qatar,1,1,Friendly,Debrecen,Hungary,True,2021-02-18,42,1456.0,2021-02-18,58,1391.0,16,65.0,0,1
2021-03-30,Saudi Arabia,Palestine,5,0,FIFA World Cup qualification,Riyadh,Saudi Arabia,False,2021-02-18,67,1353.0,2021-02-18,102,1206.0,35,147.0,1,0
2021-03-30,Senegal,Eswatini,1,1,African Cup of Nations qualification,Thiès,Senegal,False,2021-02-18,20,1558.0,2021-02-18,153,1040.0,133,518.0,0,1
2021-03-30,Turkey,Latvia,3,3,FIFA World Cup qualification,Istanbul,Turkey,False,,,,2021-02-18,136,1082.0,,,0,1
2021-03-30,Wales,Czech Republic,1,0,FIFA World Cup qualification,Cardiff,Wales,False,2021-02-18,18,1562.0,2021-02-18,42,1456.0,24,106.0,1,0
2021-03-31,Austria,Denmark,0,4,FIFA World Cup qualification,Vienna,Austria,False,2021-02-18,23,1531.0,2021-02-18,12,1614.0,-11,-83.0,0,0
2021-03-31,Bosnia and Herzegovina,France,0,1,FIFA World Cup qualification,Sarajevo,Bosnia and Herzegovina,False,2021-02-18,56,1410.0,2021-02-18,2,1755.0,-54,-345.0,0,0
